功能,功能点,描述,优先级,需求状态,备注,设计文档,原型文档
PK打榜,团队PK,展示每周赛况,P0,未开始,@Ame 需求待补充,这个模块没做UI，需要AI输出，甲方会提供示意图,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WTqYPgMP9Hd
,队伍大本营,展示阵营等级、可查看阵营成员,P0,未开始,,这个模块没做UI，需要AI输出，甲方会提供示意图,
PK打榜,团队PK,展示过去团队PK记录、规则详情,P1,未开始,@Ame 需提供团队pk规则（用户视角）,这个模块没做UI，需要AI输出，甲方会提供示意图,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WTqYPgMP9Hd
PK打榜,赛季排位,个人排位赛、按赛季解锁登记，经验值PK,P0,未开始,@Ame 需求待补充,这个模块没做UI，需要AI输出，甲方会提供示意图,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WTqYPgMP9Hd
PK打榜,赛季排位,规则说明,P1,未开始,@Ame 需提供规则说明（用户视角）,这个模块没做UI，需要AI输出，甲方会提供示意图,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WTqYPgMP9Hd
排行榜,团战榜,半年榜单、年度总榜单,P0,未开始,,这个模块没做UI，需要AI输出，甲方会提供示意图,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WTqYPgMP9Hd
排行榜,个人等级排名,玩家累计经验值总排名,P0,未开始,,这个模块没做UI，需要AI输出，甲方会提供示意图,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WTqYPgMP9Hd
,队伍大本营,展示阵营等级、可查看阵营成员,P0,未开始,,这个模块没做UI，需要AI输出，甲方会提供示意图,
排行榜,筛选,支持按MIP城市分部筛选数据,P1,未开始,,这个模块没做UI，需要AI输出，甲方会提供示意图,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV28WTqYPgMP9Hd
,大本营效果图,不同等级的大本营展示不同风格的效果图,P0,未开始,,,
活动主页,轮播Banner位,支持跳转链接,P1,未开始,跳转地址: https://mp.weixin.qq.com/s/DeJ38RyOILq5hPAz5jrVUQ,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
活动主页,往期回顾,跳转到MIP小程序的视频号,P1,未开始,小程序接入视频号方法: https://developers.weixin.qq.com/miniprogram/dev/platform-capabilities/business-capabilities/ministore/minishopopencomponent2/scene/shipinhao.html,https://www.figma.com/design/qqkbdlh4c4Swubum8S3F2f/MIP?node-id=69-4975&t=NXGNRsb1cM3xndeR-1,https://modao.cc/proto/jL42OUCqt55gkdS11aAOP/sharing?view_mode=read_only&screen=rbpV2FGK4nPnZLcm
